,Id,path,action,object,Self-reported fluency level ,First Language spoken,Current language used for work/school,speakerId,gender,ageRange,mfccs
0,0,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/0a3129c0-4474-11e9-a9a5-5dbec3b8816a.wav,change language,none,0,1,2,0,0,0,-26.103281
1,1,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/0ee42a80-4474-11e9-a9a5-5dbec3b8816a.wav,activate,music,0,1,2,0,0,0,-27.985989
2,2,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/1d9f3920-4474-11e9-a9a5-5dbec3b8816a.wav,deactivate,lights,0,1,2,0,0,0,-27.983374
3,3,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/269fc210-4474-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-26.391945
4,4,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/5bbda3f0-4478-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-28.545034
5,5,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/6436ad60-4478-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-26.713112
6,6,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/6a1cd6f0-4478-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-25.654818
7,7,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/72160200-4478-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-29.120043
8,8,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/74d262e0-4478-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-25.273611
9,9,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/77cb5790-4478-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-26.467485
10,10,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/7aab1ef0-4478-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-27.77803
11,11,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/7d87b200-4478-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-28.658443
12,12,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/870ef720-4478-11e9-a9a5-5dbec3b8816a.wav,activate,music,0,1,2,0,0,0,-26.113377
13,13,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/892a8420-4478-11e9-a9a5-5dbec3b8816a.wav,activate,music,0,1,2,0,0,0,-25.645061
14,14,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/8b443c60-4478-11e9-a9a5-5dbec3b8816a.wav,activate,music,0,1,2,0,0,0,-24.820152
15,15,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/ecdad740-4478-11e9-a9a5-5dbec3b8816a.wav,deactivate,lights,0,1,2,0,0,0,-25.917463
16,16,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/256b2060-4479-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-30.573668
17,17,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/2bf9e600-4479-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-27.448149
18,18,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/2e4b5010-4479-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-25.868534
19,19,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/30e3d540-4479-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-27.682999
20,20,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/33a69ec0-4479-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-26.391275
21,21,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/35fdd530-4479-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-26.771297
22,22,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/3acc7440-4479-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-22.277351
23,23,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/4b14b290-4479-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-27.530046
24,24,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/4f754d90-4479-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-27.228518
25,25,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/54942f80-4479-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-25.212225
26,26,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/5fa289d0-4479-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-27.28372
27,27,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/623cbcb0-4479-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-25.184332
28,28,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/64d89d40-4479-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-24.622438
29,29,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/69445bd0-4479-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-26.749804
30,30,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/6bfc4fe0-4479-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-25.844093
31,31,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/6ece82b0-4479-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-26.138428
32,32,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/769cf440-4479-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-27.664742
33,33,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/78895af0-4479-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-25.949442
34,34,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/7ad87b10-4479-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-26.628931
35,35,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/7d5d7840-4479-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-24.271227
36,36,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/8554a780-4479-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-37.45681
37,37,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/894c6e90-4479-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-25.98988
38,38,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/8c300680-4479-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-25.78467
39,39,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/8f0c4b70-4479-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-28.999924
40,40,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/96357c50-4479-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-28.598703
41,41,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/98c88340-4479-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-26.044502
42,42,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/9ae5e500-4479-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-27.95041
43,43,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/9da79d10-4479-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-27.42904
44,44,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/07858300-447a-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-27.392355
45,45,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/09bd4a90-447a-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-26.285583
46,46,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/120de470-447a-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-26.245045
47,47,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/ce762960-447a-11e9-a9a5-5dbec3b8816a.wav,change language,none,0,1,2,0,0,0,-26.129568
48,48,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/d6207120-447a-11e9-a9a5-5dbec3b8816a.wav,change language,none,0,1,2,0,0,0,-28.511618
49,49,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/d8f785f0-447a-11e9-a9a5-5dbec3b8816a.wav,change language,none,0,1,2,0,0,0,-28.339764
50,50,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/db510650-447a-11e9-a9a5-5dbec3b8816a.wav,change language,none,0,1,2,0,0,0,-29.230223
51,51,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/dddfc780-447a-11e9-a9a5-5dbec3b8816a.wav,change language,none,0,1,2,0,0,0,-28.795835
52,52,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/3710b9e0-447b-11e9-a9a5-5dbec3b8816a.wav,deactivate,lights,0,1,2,0,0,0,-29.30836
53,53,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/39c24550-447b-11e9-a9a5-5dbec3b8816a.wav,change language,none,0,1,2,0,0,0,-27.357582
54,54,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/405a80d0-447b-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-27.612926
55,55,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/4a8299d0-447b-11e9-a9a5-5dbec3b8816a.wav,deactivate,lights,0,1,2,0,0,0,-37.727577
56,56,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/4d3b0310-447b-11e9-a9a5-5dbec3b8816a.wav,deactivate,lights,0,1,2,0,0,0,-28.711166
57,57,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/4f9e4770-447b-11e9-a9a5-5dbec3b8816a.wav,deactivate,lights,0,1,2,0,0,0,-28.675827
58,58,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/576a20f0-447b-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-27.91666
59,59,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/64278ad0-447b-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-27.993307
60,60,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/7017e0b0-447b-11e9-a9a5-5dbec3b8816a.wav,increase,heat,0,1,2,0,0,0,-32.397316
61,61,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/76ca0cd0-447b-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-28.918074
62,62,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/7cfad3f0-447b-11e9-a9a5-5dbec3b8816a.wav,decrease,heat,0,1,2,0,0,0,-28.849401
63,63,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/867806f0-447b-11e9-a9a5-5dbec3b8816a.wav,activate,music,0,1,2,0,0,0,-25.133657
64,64,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/8a953050-447b-11e9-a9a5-5dbec3b8816a.wav,activate,music,0,1,2,0,0,0,-26.985815
65,65,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/03592c80-447c-11e9-a9a5-5dbec3b8816a.wav,deactivate,lights,0,1,2,0,0,0,-26.656744
66,66,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/3f7b00d0-447c-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-29.177176
67,67,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/42510430-447c-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-31.12677
68,68,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/452ab110-447c-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-26.557781
69,69,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/472150f0-447c-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-24.60296
70,70,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/49ac4190-447c-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-28.246168
71,71,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/521df800-447c-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-26.516565
72,72,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/592262d0-447c-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-24.099522
73,73,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/5d9bdd00-447c-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-24.501375
74,74,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/68fceb30-447c-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-26.10646
75,75,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/71d02290-447c-11e9-a9a5-5dbec3b8816a.wav,increase,volume,0,1,2,0,0,0,-25.932144
76,76,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/7953f690-447c-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-25.994415
77,77,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/7c2035f0-447c-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-24.808203
78,78,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/7ee96810-447c-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-25.156097
79,79,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/81d5b290-447c-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-26.875175
80,80,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/843aa4a0-447c-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-24.850359
81,81,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/8c9eed90-447c-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-27.52569
82,82,dsl_data/audio/speakers/2BqVo8kVB2Skwgyb/907d1220-447c-11e9-a9a5-5dbec3b8816a.wav,decrease,volume,0,1,2,0,0,0,-26.999687
